3193
39 2 30	Nicholas Watson
86 2 25	Grace Flowers
24 7 18	Sarah Harrison
87 5 21	Lindsay Dunn
21 3 5	Rose Barrett
70 8 26	Ken Harvey
86 3 23	Treva Bailey
55 2 23	Brandon Bennett
28 4 17	Levi Bryant
15 3 15	Calvin Garcia
57 6 0	Jacqulyn Drake
71 6 24	Dexter Brown
52 3 9	Eugene Watson
26 10 23	Dani Hutchings
10 0 1	Collen Barlow
38 1 23	Fred Reed
47 10 24	Charlene Green
62 2 11	Arthur Kelly
83 7 8	Lucia Davis
86 4 4	Oretha Ruiz
45 2 16	Martha Flowers
30 9 8	Benjamin Turner
46 11 26	Alice Kelley
60 3 10	Diane Lane
52 3 30	Joe Freeman
58 6 12	Eugenia Bailey
44 4 0	Wanda Powell
40 2 2	Alma Pulliam
79 1 6	Andrea Moore
81 2 4	Howard Adams
69 6 1	Angelika Martinez
19 0 4	Brandon McDonald
14 6 6	Stasia Simpson
21 7 14	Christine Lee
54 5 3	Estelle Bailey
88 9 29	Joanne Weaver
32 3 30	Adam Moody
47 2 3	Nancy Price
56 9 30	Gerard Hindman
14 11 15	Jacqueline Pibbles
90 7 18	Inez Taylor
51 9 5	Karen Brown
14 0 4	Helen Graves
60 7 6	Dani Goodrich
68 2 16	Margaret Brockman
36 11 30	Carl Barnes
34 10 2	Walter Sherman
15 11 21	Claudine Maldonado
36 7 29	William Orosco
9 6 9	Carley Hutchings
36 7 25	Roger Doyle
44 8 21	Cynthia Caraballo
61 7 0	Fred Perez
58 10 27	Andrea Griffin
86 1 17	Earnest Walters
27 2 26	Judith Moore
27 3 15	Jorge Bryant
74 6 20	Mildred Reyes
75 11 23	Delaine Hunt
86 3 23	Wilmer Stokes
51 11 9	Eliana Holt
39 0 26	Shani Barth
40 7 12	Denise Boyle
38 11 18	Casey Taylor
26 7 24	Myron Gonzalez
58 2 20	Cynthia Faison
33 7 29	Jeremy Perry
60 2 13	Melissa Martin
64 7 24	Levi Gonzalez
19 7 8	Erica Doyle
23 6 30	Marion Rhodes
67 1 30	Sophia Marsh
45 6 14	Denise Gray
15 0 4	Catherine Browne
9 4 5	Wilmer Thomas
79 3 24	Maria Hill
72 7 10	Jennifer Steadman
60 4 20	Estelle Tiller
66 5 30	Ashley Hughes
68 7 1	Claudine Meyer
18 3 9	Jennifer Humphrey
61 0 10	Alice Flaherty
45 0 30	Alan Duong
69 3 7	Nancy Tackett
52 2 16	Roger Campbell
17 0 4	Mary Barrett
88 9 0	Wilmer Gonzalez
90 10 7	Valerie Thompson
46 8 17	Andres Taylor
30 7 19	Donald Henderson
29 6 18	Barbara Baumann
45 7 16	Tracy Alvarado
64 0 8	Carley Watson
72 5 6	Clark Olvera
38 9 9	Collen Boyle
13 0 2	Casey Washington
48 2 21	Sarah Martin
18 8 24	Alice Tackett
39 7 15	Joanne Thompson
34 1 1	Joanne Dean
57 7 4	Kathleen Main
88 1 29	Gordon Griffin
49 1 0	Earl Taylor
59 11 18	Michael Moran
50 3 16	Sharon Barber
62 8 27	Wade Gonzales
31 9 19	Levi Blanton
30 2 27	Charles Vega
37 11 6	Mary Williams
25 6 24	Jackie George
22 5 15	Nicholas Fleming
13 9 11	Natasha Pibbles
10 0 17	Walter Whitworth
73 8 18	Josphine Roy
71 9 6	Marshall Ball
78 6 2	Jenifer Walker
36 8 24	Bryant Green
31 1 4	Jeremy Hill
40 2 16	Fred Walters
65 8 30	Ramiro Taylor
81 1 5	Sharon Pulliam
44 3 13	Natalie Butler
15 7 10	Clayton Torres
90 5 9	Catherine Reeves
40 8 30	Martin Blanton
87 4 15	Heidi Copeland
87 4 17	Charlene Pibbles
83 5 17	Andres Rogers
58 5 29	Susan Simpson
63 9 5	Mary Bryant
60 10 15	Arthur Kelly
62 1 21	Dawne Davis
70 4 10	Joanne Dennis
40 5 29	Grace Lee
28 9 9	Casey Foster
69 3 2	Anthony Ball
15 1 27	Hsiu Baumann
23 3 9	Vera Main
29 5 5	Mary Rogers
28 9 18	Jean Griffin
34 10 10	Santiago Orosco
14 3 8	Michelle Fortune
82 3 26	Susan Barber
8 5 8	Cynthia Johnson
17 6 19	Joe Doyle
40 3 6	Catherine Lee
80 7 17	Darrin Fleming
11 9 6	Kevin Turner
66 3 8	Myron Alexander
87 2 12	Timothy Jones
39 1 25	Herma Nunez
21 7 25	Earnest Sanders
10 11 27	George Nelson
51 1 9	Kasie Harris
30 7 1	Dwayne Griffin
89 3 18	Jose Rogers
49 4 4	Ramiro Foster
33 9 10	Earl Perkins
47 6 2	Brandon Huddleston
57 0 25	Melissa Duong
80 1 15	Bobby Butler
82 0 20	Santiago Reyes
16 4 22	Janet Kelly
13 7 17	Jack Patterson
72 1 25	Ryan Alexander
32 0 16	Nicholas Caraballo
39 5 9	Chris Carter
83 10 7	Julie Flowers
58 4 18	Alma Powell
48 5 11	See Fleming
59 7 26	Alan Medina
76 2 12	Santiago Reddick
52 9 0	Pamela Hollins
36 1 29	Jackeline Sanders
64 2 4	Jackie Harrington
45 7 5	Lindsay Humphrey
82 9 22	Eloise Stokes
68 2 2	Andre Watson
40 4 12	Diana Townsend
59 9 4	Collen Hollins
76 6 3	Nicolette Padilla
16 1 9	Delaine Bryant
27 6 19	Spencer Torres
71 7 10	Patti Caraballo
65 3 15	Felipe Ingram
25 2 16	Anya Carvalho
54 7 15	Elvina Henderson
72 9 28	Janet Hardy
44 9 11	Howard Hunt
83 4 25	Nancy Baumann
28 3 21	Mildred Watson
17 9 7	Val Campbell
43 4 22	Karrie Ball
33 3 2	Antoinette Howard
64 11 29	Luz Campbell
18 4 18	Valerie Pibbles
42 11 4	Irene Hines
12 0 4	Dennis Roy
28 11 1	Zachary Pulliam
52 6 12	Grace Parker
25 3 12	Anthony Martin
87 1 6	Julie Lindsey
64 6 14	Santiago Gray
69 9 2	George Pibbles
11 1 12	Charles Bailey
50 8 14	Jackeline Tiller
41 6 7	Jeni Gonzalez
19 1 0	Calvin Wheeler
15 9 7	Andres Bryant
83 4 10	Wilmer Fenton
58 2 22	Kimberly Bass
41 8 16	Eileen Phillips
74 1 22	Rachel Holloway
65 1 29	Christine Sherman
83 7 19	Howard Roy
84 9 11	Earl Whitworth
8 2 30	Casey Wright
74 10 29	Edward Simmons
75 9 28	Lindsey Stewart
37 8 25	Joshua Arevalo
11 5 11	George Brown
53 10 26	David Weaver
54 5 24	Valerie Peterson
35 2 8	Myron Holland
14 0 5	Oretha Weaver
8 1 1	Mildred Stewart
60 0 20	Niki Kelley
85 8 13	Janice Hutchings
89 11 24	Wade Cox
43 9 3	Clark Bryant
14 3 7	Chris Browne
39 10 18	Eloise Bennett
84 1 15	Marilyn Neal
72 7 14	Kim Gray
51 6 15	Gary Bowen
64 3 1	Karrie Flynn
59 7 10	Ryan Casey
27 1 6	Samual Payne
75 11 24	Margaret Rodriguez
79 10 2	Angie Washington
13 5 1	Michelle Gray
23 11 21	Gordon Cox
16 6 5	Catherine Neal
11 4 0	Jeremy Bryant
83 5 2	Alejandro Payne
78 10 4	Ivan Wood
55 2 12	Jason Vega
52 1 0	Annie Hunt
34 2 16	Terence Horowitz
57 11 4	Christopher Freeman
8 3 18	Yuonne Holt
78 6 13	Sharon Bass
65 1 12	Natasha Sullivan
90 8 0	Lindsey Gracia
50 3 17	Candelaria Yoon
17 0 24	Deborah Carter
66 11 22	Maria Fortune
13 8 28	Shanelle Jackson
73 5 0	Lynn Miller
13 1 11	Josphine Watson
32 3 10	Angie Watson
9 5 22	Krissy Nunez
80 9 9	Kathy Cooper
83 8 12	Dorothy Patterson
45 11 16	Maryalice Evans
18 3 30	Luz Young
29 8 6	Marshall Holt
75 7 3	Edward Barber
88 1 18	Karrie Moran
75 2 17	Pat Moore
20 8 22	Samual Coleman
76 10 28	Brandon Kelly
57 0 18	Claudine Henderson
75 2 1	Nancy Hunt
23 8 20	Dorothy Bowling
44 7 2	Elijah Clark
65 7 1	Barbara Sanchez
